,Unnamed: 0,Sentence #,tok,pos,tag
0,0,0.0,The,DT,O
1,1,,system,NN,O
2,2,,as,IN,O
3,3,,described,VBD,O
4,4,,above,RB,O
5,5,,has,VBZ,O
6,6,,its,PRP$,O
7,7,,greatest,JJS,O
8,8,,application,NN,O
9,9,,in,IN,O
10,10,,an,DT,O
11,11,,arrayed,JJ,O
12,12,,configuration,NN,B-SUBJ
13,13,,of,IN,O
14,14,,antenna,NN,O
15,15,,elements,NNS,B-OBJ
16,16,,.,.,O
17,17,1.0,The,DT,O
18,18,,child,NN,B-SUBJ
19,19,,was,VBD,O
20,20,,carefully,RB,O
21,21,,wrapped,VBN,O
22,22,,and,CC,O
23,23,,bound,VBN,O
24,24,,into,IN,O
25,25,,the,DT,O
26,26,,cradle,NN,B-OBJ
27,27,,by,IN,O
28,28,,means,NNS,O
29,29,,of,IN,O
30,30,,a,DT,O
31,31,,cord,NN,O
32,32,,.,.,O
33,33,2.0,The,DT,O
34,34,,author,NN,B-SUBJ
35,35,,of,IN,O
36,36,,a,DT,O
37,37,,keygen,NN,O
38,38,,uses,VBZ,O
39,39,,a,DT,O
40,40,,disassembler,NN,B-OBJ
41,41,,to,TO,O
42,42,,look,VB,O
43,43,,at,IN,O
44,44,,the,DT,O
45,45,,raw,JJ,O
46,46,,assembly,NN,O
47,47,,code,NN,O
48,48,,.,.,O
49,49,3.0,A,DT,O
50,50,,misty,JJ,O
51,51,,ridge,NN,B-SUBJ
52,52,,uprises,VBZ,O
53,53,,from,IN,O
54,54,,the,DT,O
55,55,,surge,NN,B-OBJ
56,56,,.,.,O
57,57,4.0,The,DT,O
58,58,,student,NN,B-SUBJ
59,59,,association,NN,B-OBJ
60,60,,is,VBZ,O
61,61,,the,DT,O
62,62,,voice,NN,O
63,63,,of,IN,O
64,64,,the,DT,O
65,65,,undergraduate,JJ,O
66,66,,student,NN,O
67,67,,population,NN,O
68,68,,of,IN,O
69,69,,the,DT,O
70,70,,State,NNP,O
71,71,,University,NNP,O
72,72,,of,IN,O
73,73,,New,NNP,O
74,74,,York,NNP,O
75,75,,at,IN,O
76,76,,Buffalo,NNP,O
77,77,,.,.,O
78,78,5.0,This,DT,O
79,79,,is,VBZ,O
80,80,,the,DT,O
81,81,,sprawling,VBG,O
82,82,,complex,NN,B-SUBJ
83,83,,that,WDT,O
84,84,,is,VBZ,O
85,85,,Peru,NNP,O
86,86,,'s,POS,O
87,87,,largest,JJS,O
88,88,,producer,NN,B-OBJ
89,89,,of,IN,O
90,90,,silver,NN,O
91,91,,.,.,O
92,92,6.0,The,DT,O
93,93,,current,JJ,O
94,94,,view,NN,O
95,95,,is,VBZ,O
96,96,,that,IN,O
97,97,,the,DT,O
98,98,,chronic,JJ,O
99,99,,inflammation,NN,B-SUBJ
100,100,,in,IN,O
101,101,,the,DT,O
102,102,,distal,JJ,O
103,103,,part,NN,O
104,104,,of,IN,O
105,105,,the,DT,O
106,106,,stomach,NN,O
107,107,,caused,VBD,O
108,108,,by,IN,O
109,109,,Helicobacter,NNP,O
110,110,,pylori,NN,O
111,111,,infection,NN,B-OBJ
112,112,,results,NNS,O
113,113,,in,IN,O
114,114,,an,DT,O
115,115,,increased,VBN,O
116,116,,acid,JJ,O
117,117,,production,NN,O
118,118,,from,IN,O
119,119,,the,DT,O
120,120,,non-infected,JJ,O
121,121,,upper,JJ,O
122,122,,corpus,NN,O
123,123,,region,NN,O
124,124,,of,IN,O
125,125,,the,DT,O
126,126,,stomach,NN,O
127,127,,.,.,O
128,128,7.0,People,NNS,B-SUBJ
129,129,,have,VBP,O
130,130,,been,VBN,O
131,131,,moving,VBG,O
132,132,,back,RB,O
133,133,,into,IN,O
134,134,,downtown,NN,B-OBJ
135,135,,.,.,O
136,136,8.0,The,DT,O
137,137,,lawsonite,NN,B-SUBJ
138,138,,was,VBD,O
139,139,,contained,VBN,O
140,140,,in,IN,O
141,141,,a,DT,O
142,142,,platinum,NN,B-OBJ
143,143,,crucible,NN,I-OBJ
144,144,,and,CC,O
145,145,,the,DT,O
146,146,,counter-weight,NN,O
147,147,,was,VBD,O
148,148,,a,DT,O
149,149,,plastic,JJ,O
150,150,,crucible,NN,O
151,151,,with,IN,O
152,152,,metal,NN,O
153,153,,pieces,NNS,O
154,154,,.,.,O
155,155,9.0,The,DT,O
156,156,,solute,NN,O
157,157,,was,VBD,O
158,158,,placed,VBN,O
159,159,,inside,IN,O
160,160,,a,DT,O
161,161,,beaker,NN,O
162,162,,and,CC,O
163,163,,5,CD,O
164,164,,mL,NN,O
165,165,,of,IN,O
166,166,,the,DT,O
167,167,,solvent,JJ,B-SUBJ
168,168,,was,VBD,O
169,169,,pipetted,VBN,O
170,170,,into,IN,O
171,171,,a,DT,O
172,172,,25,CD,O
173,173,,mL,NN,O
174,174,,glass,NN,O
175,175,,flask,NN,B-OBJ
176,176,,for,IN,O
177,177,,each,DT,O
178,178,,trial,NN,O
179,179,,.,.,O
180,180,10.0,The,DT,O
181,181,,fifty,JJ,O
182,182,,essays,NNS,B-SUBJ
183,183,,collected,VBN,O
184,184,,in,IN,O
185,185,,this,DT,O
186,186,,volume,NN,B-OBJ
187,187,,testify,VBP,O
188,188,,to,TO,O
189,189,,most,JJS,O
190,190,,of,IN,O
191,191,,the,DT,O
192,192,,prominent,JJ,O
193,193,,themes,NNS,O
194,194,,from,IN,O
195,195,,Professor,NNP,O
196,196,,Quispel,NNP,O
197,197,,'s,POS,O
198,198,,scholarly,JJ,O
199,199,,career,NN,O
200,200,,.,.,O
201,201,11.0,Their,PRP$,O
202,202,,composer,NN,B-SUBJ
203,203,,has,VBZ,O
204,204,,sunk,VBN,O
205,205,,into,IN,O
206,206,,oblivion,NN,B-OBJ
207,207,,.,.,O
208,208,12.0,The,DT,O
209,209,,Pulitzer,NNP,O
210,210,,Committee,NNP,O
211,211,,issues,VBZ,O
212,212,,an,DT,O
213,213,,official,JJ,O
214,214,,citation,NN,B-SUBJ
215,215,,explaining,VBG,O
216,216,,the,DT,O
217,217,,reasons,NNS,B-OBJ
218,218,,for,IN,O
219,219,,the,DT,O
220,220,,award,NN,O
221,221,,.,.,O
222,222,13.0,The,DT,O
223,223,,burst,NN,B-SUBJ
224,224,,has,VBZ,O
225,225,,been,VBN,O
226,226,,caused,VBN,O
227,227,,by,IN,O
228,228,,water,NN,O
229,229,,hammer,NN,O
230,230,,pressure,NN,B-OBJ
231,231,,.,.,O
232,232,14.0,Even,RB,O
233,233,,commercial,JJ,O
234,234,,networks,NNS,B-SUBJ
235,235,,have,VBP,O
236,236,,moved,VBN,O
237,237,,into,IN,O
238,238,,high-definition,JJ,B-OBJ
239,239,,broadcast,NN,I-OBJ
240,240,,.,.,O
241,241,15.0,It,PRP,O
242,242,,was,VBD,O
243,243,,a,DT,O
244,244,,friendly,JJ,O
245,245,,call,NN,B-SUBJ
246,246,,to,TO,O
247,247,,remind,VB,O
248,248,,them,PRP,O
249,249,,about,IN,O
250,250,,the,DT,O
251,251,,bill,NN,B-OBJ
252,252,,and,CC,O
253,253,,make,VB,O
254,254,,sure,JJ,O
255,255,,they,PRP,O
256,256,,have,VBP,O
257,257,,a,DT,O
258,258,,copy,NN,O
259,259,,of,IN,O
260,260,,the,DT,O
261,261,,invoice,NN,O
262,262,,.,.,O
263,263,16.0,Texas-born,JJ,O
264,264,,virtuoso,NN,B-SUBJ
265,265,,finds,VBZ,O
266,266,,harmony,NN,O
267,267,,",",",",O
268,268,,sophistication,NN,O
269,269,,in,IN,O
270,270,,Appalachian,NNP,O
271,271,,instrument,NN,B-OBJ
272,272,,.,.,O
273,273,17.0,The,DT,O
274,274,,factory,NN,B-SUBJ
275,275,,'s,POS,O
276,276,,products,NNS,O
277,277,,have,VBP,O
278,278,,included,VBN,O
279,279,,flower,NN,O
280,280,,pots,NNS,O
281,281,,",",",",O
282,282,,Finnish,JJ,O
283,283,,rooster-whistles,NNS,O
284,284,,",",",",O
285,285,,pans,NNS,O
286,286,,",",",",O
287,287,,trays,NNS,B-OBJ
288,288,,",",",",O
289,289,,tea,NN,O
290,290,,pots,NNS,O
291,291,,",",",",O
292,292,,ash,JJ,O
293,293,,trays,NNS,O
294,294,,and,CC,O
295,295,,air,NN,O
296,296,,moisturisers,NNS,O
297,297,,.,.,O
298,298,18.0,The,DT,O
299,299,,girl,NN,O
300,300,,showed,VBD,O
301,301,,a,DT,O
302,302,,photo,NN,O
303,303,,of,IN,O
304,304,,apple,NN,O
305,305,,tree,NN,B-SUBJ
306,306,,blossom,NN,B-OBJ
307,307,,on,IN,O
308,308,,a,DT,O
309,309,,fruit,NN,O
310,310,,tree,NN,O
311,311,,in,IN,O
312,312,,the,DT,O
313,313,,Central,NNP,O
314,314,,Valley,NNP,O
315,315,,.,.,O
316,316,19.0,They,PRP,O
317,317,,tried,VBD,O
318,318,,an,DT,O
319,319,,assault,NN,O
320,320,,of,IN,O
321,321,,their,PRP$,O
322,322,,own,JJ,O
323,323,,an,DT,O
324,324,,hour,NN,O
325,325,,later,RB,O
326,326,,",",",",O
327,327,,with,IN,O
328,328,,two,CD,O
329,329,,columns,NNS,O
330,330,,of,IN,O
331,331,,sixteen,NN,O
332,332,,tanks,NNS,O
333,333,,backed,VBN,O
334,334,,by,IN,O
335,335,,a,DT,O
336,336,,battalion,NN,B-SUBJ
337,337,,of,IN,O
338,338,,Panzer,NNP,O
339,339,,grenadiers,NNS,B-OBJ
340,340,,.,.,O
341,341,20.0,Their,PRP$,O
342,342,,knowledge,NN,B-SUBJ
343,343,,of,IN,O
344,344,,the,DT,O
345,345,,power,NN,O
346,346,,and,CC,O
347,347,,rank,NN,O
348,348,,symbols,NNS,O
349,349,,of,IN,O
350,350,,the,DT,O
351,351,,Continental,NNP,O
352,352,,empires,NNS,O
353,353,,was,VBD,O
354,354,,gained,VBN,O
355,355,,from,IN,O
356,356,,the,DT,O
357,357,,numerous,JJ,O
358,358,,Germanic,JJ,O
359,359,,recruits,NNS,B-OBJ
360,360,,in,IN,O
361,361,,the,DT,O
362,362,,Roman,NNP,O
363,363,,army,NN,O
364,364,,",",",",O
365,365,,and,CC,O
366,366,,from,IN,O
367,367,,the,DT,O
368,368,,Roman,JJ,O
369,369,,practice,NN,O
370,370,,of,IN,O
371,371,,enfeoffing,VBG,O
372,372,,various,JJ,O
373,373,,Germanic,JJ,O
374,374,,warrior,NN,O
375,375,,groups,NNS,O
376,376,,with,IN,O
377,377,,land,NN,O
378,378,,in,IN,O
379,379,,the,DT,O
380,380,,imperial,JJ,O
381,381,,provinces,NNS,O
382,382,,.,.,O
383,383,21.0,She,PRP,O
384,384,,soon,RB,O
385,385,,had,VBD,O
386,386,,a,DT,O
387,387,,stable,NN,B-SUBJ
388,388,,of,IN,O
389,389,,her,PRP$,O
390,390,,own,JJ,O
391,391,,rescued,JJ,O
392,392,,hounds,NNS,B-OBJ
393,393,,.,.,O
394,394,22.0,The,DT,O
395,395,,singer,NN,B-SUBJ
396,396,,",",",",O
397,397,,who,WP,O
398,398,,performed,VBD,O
399,399,,three,CD,O
400,400,,of,IN,O
401,401,,the,DT,O
402,402,,nominated,JJ,O
403,403,,songs,NNS,O
404,404,,",",",",O
405,405,,also,RB,O
406,406,,caused,VBD,O
407,407,,a,DT,O
408,408,,commotion,NN,B-OBJ
409,409,,on,IN,O
410,410,,the,DT,O
411,411,,red,JJ,O
412,412,,carpet,NN,O
413,413,,.,.,O
414,414,23.0,His,PRP$,O
415,415,,intellectually,JJ,O
416,416,,engaging,JJ,O
417,417,,books,NNS,O
418,418,,and,CC,O
419,419,,essays,NNS,B-SUBJ
420,420,,remain,VBP,O
421,421,,pertinent,JJ,O
422,422,,to,TO,O
423,423,,illuminating,VBG,O
424,424,,contemporary,JJ,O
425,425,,history,NN,B-OBJ
426,426,,.,.,O
427,427,24.0,Poor,NNP,O
428,428,,hygiene,NNP,O
429,429,,controls,VBZ,O
430,430,,",",",",O
431,431,,reports,NNS,O
432,432,,of,IN,O
433,433,,a,DT,O
434,434,,brace,NN,B-SUBJ
435,435,,of,IN,O
436,436,,gamey,JJ,O
437,437,,grouse,NN,B-OBJ
438,438,,and,CC,O
439,439,,what,WP,O
440,440,,looked,VBD,O
441,441,,like,IN,O
442,442,,a,DT,O
443,443,,skinned,JJ,O
444,444,,fox,NN,O
445,445,,all,DT,O
446,446,,amounted,VBD,O
447,447,,to,TO,O
448,448,,a,DT,O
449,449,,pie,NN,O
450,450,,that,WDT,O
451,451,,was,VBD,O
452,452,,unfit,JJ,O
453,453,,for,IN,O
