,Sentence #,tok,pos,tag
0,0,The,DT,O
1,,system,NN,O
2,,as,IN,O
3,,described,VBD,O
4,,above,RB,O
5,,has,VBZ,O
6,,its,PRP$,O
7,,greatest,JJS,O
8,,application,NN,O
9,,in,IN,O
10,,an,DT,O
11,,arrayed,JJ,O
12,,configuration,NN,B-SUBJ
13,,of,IN,O
14,,antenna,NN,O
15,,elements,NNS,B-OBJ
16,,.,.,O
17,1,The,DT,O
18,,child,NN,B-SUBJ
19,,was,VBD,O
20,,carefully,RB,O
21,,wrapped,VBN,O
22,,and,CC,O
23,,bound,VBN,O
24,,into,IN,O
25,,the,DT,O
26,,cradle,NN,B-OBJ
27,,by,IN,O
28,,means,NNS,O
29,,of,IN,O
30,,a,DT,O
31,,cord,NN,O
32,,.,.,O
33,2,The,DT,O
34,,author,NN,B-SUBJ
35,,of,IN,O
36,,a,DT,O
37,,keygen,NN,O
38,,uses,VBZ,O
39,,a,DT,O
40,,disassembler,NN,B-OBJ
41,,to,TO,O
42,,look,VB,O
43,,at,IN,O
44,,the,DT,O
45,,raw,JJ,O
46,,assembly,NN,O
47,,code,NN,O
48,,.,.,O
49,3,A,DT,O
50,,misty,JJ,O
51,,ridge,NN,B-SUBJ
52,,uprises,VBZ,O
53,,from,IN,O
54,,the,DT,O
55,,surge,NN,B-OBJ
56,,.,.,O
57,4,The,DT,O
58,,student,NN,B-SUBJ
59,,association,NN,B-OBJ
60,,is,VBZ,O
61,,the,DT,O
62,,voice,NN,O
63,,of,IN,O
64,,the,DT,O
65,,undergraduate,JJ,O
66,,student,NN,O
67,,population,NN,O
68,,of,IN,O
69,,the,DT,O
70,,State,NNP,O
71,,University,NNP,O
72,,of,IN,O
73,,New,NNP,O
74,,York,NNP,O
75,,at,IN,O
76,,Buffalo,NNP,O
77,,.,.,O
78,5,This,DT,O
79,,is,VBZ,O
80,,the,DT,O
81,,sprawling,VBG,O
82,,complex,NN,B-SUBJ
83,,that,WDT,O
84,,is,VBZ,O
85,,Peru,NNP,O
86,,'s,POS,O
87,,largest,JJS,O
